hotel_id,Hotel Property,Arrival Date,Year,Arrival Months,Seasons,country,available Rooms,Room Sold,ADR,Revenue,market_segment,distribution_channel,to_name,company,lead_time,reservation_status_date,Reservation Status
2,Casa Property,04/01/14,2014,Jan,Shoulder Season,AT,14,8,80.77,646.12,Leisure,TA/TO,TO Africa,Company B,89,19/12/13,Canceled
6,Fun Property,04/01/14,2014,Jan,Shoulder Season,DK,20,10,83.17,831.7,Leisure,Website,Oceanic Travels,Company C,122,20/12/13,Confirmed
5,Loop Property,04/01/14,2014,Jan,Shoulder Season,EE,17,10,82.11,821.11,Group,OTA,Sunset Ltd,Company A,96,19/12/13,Confirmed
4,Michamvi Property,04/01/14,2014,Jan,Shoulder Season,FR,18,11,93.88,1032.68,Group,Group,ZanziTours,,164,25/12/13,Confirmed
7,Mwezi Property,04/01/14,2014,Jan,Shoulder Season,AT,22,11,88.26,970.91,Leisure,Group,Sunset Ltd,Company B,109,15/12/13,No Show
3,Nur Property,04/01/14,2014,Jan,Shoulder Season,AT,17,9,83.28,749.53,Leisure,OTA,Oceanic Travels,Company A,69,20/12/13,No Show
1,Kasha Property,05/01/14,2014,Jan,Shoulder Season,DK,6,3,259.65,778.95,Leisure,TA/TO,Sunset Ltd,Company C,173,29/12/13,No Show
2,Casa Property,05/01/14,2014,Jan,Shoulder Season,NL,14,8,81.43,651.47,Business,OTA,ZanziTours,Company B,96,02/01/14,No Show
6,Fun Property,05/01/14,2014,Jan,Shoulder Season,BG,20,9,91.78,826.05,Corporate,Direct,ZanziTours,Company C,77,19/12/13,No Show
5,Loop Property,05/01/14,2014,Jan,Shoulder Season,HU,17,9,93.63,842.64,Leisure,TA/TO,ZanziTours,Company B,6,27/12/13,Confirmed
4,Michamvi Property,05/01/14,2014,Jan,Shoulder Season,BR,18,8,83.57,668.54,Corporate,TA/TO,Sunset Ltd,,8,21/12/13,No Show
7,Mwezi Property,05/01/14,2014,Jan,Shoulder Season,RO,22,11,93.61,1029.72,Group,Group,TO Africa,Company A,152,03/01/14,Canceled
3,Nur Property,05/01/14,2014,Jan,Shoulder Season,SG,17,10,88.79,887.92,Business,Group,TO Africa,Company C,109,25/12/13,No Show
1,Kasha Property,06/01/14,2014,Jan,Shoulder Season,PL,6,3,241.32,723.96,Business,OTA,Oceanic Travels,,5,19/12/13,Canceled
2,Casa Property,06/01/14,2014,Jan,Shoulder Season,FR,14,6,82.6,495.61,Corporate,Group,Oceanic Travels,Company C,47,22/12/13,No Show
6,Fun Property,06/01/14,2014,Jan,Shoulder Season,NL,20,12,86.06,1032.76,Group,Direct,TO Africa,,105,08/12/13,Confirmed
5,Loop Property,06/01/14,2014,Jan,Shoulder Season,FR,17,7,88.02,616.16,Leisure,OTA,ZanziTours,Company C,29,14/12/13,No Show
4,Michamvi Property,06/01/14,2014,Jan,Shoulder Season,LV,18,8,84.97,679.78,Group,TA/TO,ZanziTours,,123,13/12/13,Canceled
7,Mwezi Property,06/01/14,2014,Jan,Shoulder Season,ZA,22,11,81.79,899.73,Corporate,OTA,Oceanic Travels,Company C,34,04/01/14,No Show
3,Nur Property,06/01/14,2014,Jan,Shoulder Season,NL,17,8,80.7,645.58,Business,OTA,Oceanic Travels,Company B,28,29/12/13,No Show
1,Kasha Property,07/01/14,2014,Jan,Shoulder Season,CA,6,2,247.56,495.12,Corporate,TA/TO,TO Africa,Company B,43,23/12/13,Confirmed
2,Casa Property,07/01/14,2014,Jan,Shoulder Season,FR,14,7,88.2,617.43,Business,Group,TO Africa,Company C,117,16/12/13,No Show
6,Fun Property,07/01/14,2014,Jan,Shoulder Season,CH,20,12,84.13,1009.56,Business,Website,Oceanic Travels,,172,12/12/13,No Show
5,Loop Property,07/01/14,2014,Jan,Shoulder Season,CN,17,10,82.01,820.07,Leisure,Group,TO Africa,Company C,70,29/12/13,No Show
4,Michamvi Property,07/01/14,2014,Jan,Shoulder Season,RO,18,10,85.48,854.79,Group,OTA,Oceanic Travels,Company B,111,20/12/13,Canceled
7,Mwezi Property,07/01/14,2014,Jan,Shoulder Season,UK,22,10,89.23,892.33,Corporate,Group,Oceanic Travels,Company C,131,13/12/13,No Show
3,Nur Property,07/01/14,2014,Jan,Shoulder Season,AT,17,10,93.11,931.07,Corporate,Website,TO Africa,Company B,49,01/01/14,No Show
1,Kasha Property,08/01/14,2014,Jan,Shoulder Season,UK,6,3,278.47,835.4,Leisure,TA/TO,TO Africa,,4,31/12/13,Confirmed
2,Casa Property,08/01/14,2014,Jan,Shoulder Season,AT,14,7,83.07,581.48,Leisure,Group,Sunset Ltd,,163,09/12/13,No Show
6,Fun Property,08/01/14,2014,Jan,Shoulder Season,IE,20,11,89.41,983.56,Corporate,TA/TO,Oceanic Travels,Company C,99,02/01/14,Canceled
5,Loop Property,08/01/14,2014,Jan,Shoulder Season,CN,17,9,94.02,846.17,Corporate,Corporate,ZanziTours,Company A,161,15/12/13,No Show
4,Michamvi Property,08/01/14,2014,Jan,Shoulder Season,UK,18,8,81.25,649.97,Group,OTA,Sunset Ltd,,96,15/12/13,Canceled
7,Mwezi Property,08/01/14,2014,Jan,Shoulder Season,BE,22,12,80.94,971.23,Corporate,Group,ZanziTours,Company A,85,02/01/14,Confirmed
3,Nur Property,08/01/14,2014,Jan,Shoulder Season,AE,17,10,83.64,836.38,Business,TA/TO,TO Africa,Company A,157,14/12/13,Canceled
1,Kasha Property,09/01/14,2014,Jan,Shoulder Season,DE,6,3,277.68,833.04,Leisure,Direct,ZanziTours,,170,16/12/13,Canceled
2,Casa Property,09/01/14,2014,Jan,Shoulder Season,UK,14,8,85.66,685.31,Group,OTA,TO Africa,,53,19/12/13,Confirmed
6,Fun Property,09/01/14,2014,Jan,Shoulder Season,RO,20,9,84.85,763.66,Leisure,Direct,ZanziTours,Company B,155,29/12/13,Canceled
5,Loop Property,09/01/14,2014,Jan,Shoulder Season,DE,17,10,82.87,828.72,Leisure,Direct,TO Africa,Company A,147,30/12/13,Confirmed
4,Michamvi Property,09/01/14,2014,Jan,Shoulder Season,HU,18,11,88.04,968.4,Group,OTA,Sunset Ltd,Company C,24,17/12/13,Confirmed
7,Mwezi Property,09/01/14,2014,Jan,Shoulder Season,BE,22,11,80.47,885.13,Business,Direct,Sunset Ltd,Company B,14,25/12/13,Canceled
3,Nur Property,09/01/14,2014,Jan,Shoulder Season,CZ,17,8,91.07,728.59,Leisure,TA/TO,Oceanic Travels,Company C,178,08/01/14,Confirmed
1,Kasha Property,10/01/14,2014,Jan,Shoulder Season,CH,6,3,256.94,770.82,Leisure,Corporate,Sunset Ltd,Company A,130,17/12/13,Canceled
2,Casa Property,10/01/14,2014,Jan,Shoulder Season,IN,14,6,83.52,501.11,Corporate,Corporate,ZanziTours,Company B,11,13/12/13,Canceled
6,Fun Property,10/01/14,2014,Jan,Shoulder Season,DE,20,11,94.72,1041.92,Leisure,TA/TO,TO Africa,Company C,143,21/12/13,Canceled
5,Loop Property,10/01/14,2014,Jan,Shoulder Season,BR,17,10,84.14,841.43,Group,TA/TO,Oceanic Travels,Company A,141,26/12/13,No Show
4,Michamvi Property,10/01/14,2014,Jan,Shoulder Season,FR,18,8,82.45,659.59,Business,Group,Sunset Ltd,Company A,19,05/01/14,Canceled
7,Mwezi Property,10/01/14,2014,Jan,Shoulder Season,BR,22,12,93.64,1123.7,Group,Website,TO Africa,Company B,177,08/01/14,No Show
3,Nur Property,10/01/14,2014,Jan,Shoulder Season,DK,17,8,94.05,752.42,Group,TA/TO,TO Africa,Company B,142,18/12/13,No Show
1,Kasha Property,11/01/14,2014,Jan,Shoulder Season,AE,6,3,273.4,820.21,Corporate,Direct,ZanziTours,Company B,110,16/12/13,Confirmed
2,Casa Property,11/01/14,2014,Jan,Shoulder Season,CH,14,8,81.13,649.08,Corporate,OTA,ZanziTours,Company B,97,18/12/13,No Show
6,Fun Property,11/01/14,2014,Jan,Shoulder Season,FR,20,9,94.14,847.29,Group,TA/TO,TO Africa,,101,18/12/13,No Show
5,Loop Property,11/01/14,2014,Jan,Shoulder Season,SI,17,10,86.47,864.67,Business,Website,ZanziTours,Company B,41,22/12/13,Canceled
4,Michamvi Property,11/01/14,2014,Jan,Shoulder Season,FR,18,8,84.47,675.76,Business,TA/TO,Oceanic Travels,Company C,106,30/12/13,Confirmed
7,Mwezi Property,11/01/14,2014,Jan,Shoulder Season,DK,22,13,86.09,1119.18,Corporate,Website,ZanziTours,Company A,58,30/12/13,No Show
3,Nur Property,11/01/14,2014,Jan,Shoulder Season,SK,17,9,87.02,783.15,Corporate,OTA,Sunset Ltd,Company A,173,02/01/14,No Show
1,Kasha Property,12/01/14,2014,Jan,Shoulder Season,CA,6,3,260.14,780.42,Corporate,Website,Sunset Ltd,,81,16/12/13,Confirmed
2,Casa Property,12/01/14,2014,Jan,Shoulder Season,PL,14,7,81.07,567.52,Corporate,TA/TO,Sunset Ltd,Company B,99,15/12/13,Confirmed
6,Fun Property,12/01/14,2014,Jan,Shoulder Season,DE,20,9,94.92,854.29,Leisure,Direct,ZanziTours,,107,11/01/14,No Show
5,Loop Property,12/01/14,2014,Jan,Shoulder Season,DE,17,9,88.42,795.74,Group,Direct,Oceanic Travels,Company B,79,15/12/13,No Show
4,Michamvi Property,12/01/14,2014,Jan,Shoulder Season,RO,18,8,85.33,682.65,Leisure,Group,TO Africa,Company B,72,09/01/14,Canceled
7,Mwezi Property,12/01/14,2014,Jan,Shoulder Season,AE,22,10,91.21,912.09,Group,TA/TO,Oceanic Travels,Company A,175,21/12/13,Confirmed
3,Nur Property,12/01/14,2014,Jan,Shoulder Season,SI,17,9,86.42,777.8,Group,OTA,Oceanic Travels,Company B,64,20/12/13,Canceled
1,Kasha Property,13/01/14,2014,Jan,Shoulder Season,AT,6,2,246.29,492.58,Corporate,OTA,ZanziTours,,119,16/12/13,Confirmed
2,Casa Property,13/01/14,2014,Jan,Shoulder Season,BE,14,7,87.64,613.48,Business,TA/TO,ZanziTours,Company B,172,21/12/13,No Show
6,Fun Property,13/01/14,2014,Jan,Shoulder Season,AT,20,12,84.91,1018.96,Leisure,Website,TO Africa,Company C,35,30/12/13,Canceled
5,Loop Property,13/01/14,2014,Jan,Shoulder Season,IN,17,9,91.9,827.09,Leisure,OTA,ZanziTours,Company A,39,26/12/13,Confirmed
4,Michamvi Property,13/01/14,2014,Jan,Shoulder Season,FR,18,10,86.51,865.13,Leisure,TA/TO,Oceanic Travels,Company C,100,22/12/13,Confirmed
7,Mwezi Property,13/01/14,2014,Jan,Shoulder Season,PL,22,10,92.13,921.29,Leisure,Group,Sunset Ltd,Company A,42,02/01/14,No Show
3,Nur Property,13/01/14,2014,Jan,Shoulder Season,EE,17,10,84.5,845.01,Business,TA/TO,Sunset Ltd,Company A,144,14/12/13,Canceled
1,Kasha Property,14/01/14,2014,Jan,Shoulder Season,CH,6,2,271.45,542.91,Business,TA/TO,Sunset Ltd,,21,08/01/14,Canceled
2,Casa Property,14/01/14,2014,Jan,Shoulder Season,LT,14,7,92.84,649.85,Business,Website,TO Africa,Company A,20,05/01/14,No Show
6,Fun Property,14/01/14,2014,Jan,Shoulder Season,LU,20,12,90.36,1084.34,Group,TA/TO,Oceanic Travels,Company A,105,15/12/13,Confirmed
5,Loop Property,14/01/14,2014,Jan,Shoulder Season,CN,17,10,90.05,900.49,Business,TA/TO,TO Africa,,137,02/01/14,Canceled
4,Michamvi Property,14/01/14,2014,Jan,Shoulder Season,JP,18,9,86.4,777.64,Group,Group,Oceanic Travels,Company A,8,24/12/13,Confirmed
7,Mwezi Property,14/01/14,2014,Jan,Shoulder Season,PL,22,13,88.62,1152,Group,OTA,Oceanic Travels,,12,23/12/13,Canceled
3,Nur Property,14/01/14,2014,Jan,Shoulder Season,BE,17,9,92.95,836.51,Corporate,OTA,Oceanic Travels,,125,21/12/13,No Show
1,Kasha Property,15/01/14,2014,Jan,Shoulder Season,FR,6,3,272.82,818.46,Business,OTA,Sunset Ltd,Company B,168,06/01/14,Confirmed
2,Casa Property,15/01/14,2014,Jan,Shoulder Season,BG,14,7,89.11,623.77,Leisure,Website,TO Africa,Company B,132,10/01/14,No Show
6,Fun Property,15/01/14,2014,Jan,Shoulder Season,AT,20,11,94.24,1036.61,Corporate,OTA,Sunset Ltd,Company B,152,29/12/13,Canceled
5,Loop Property,15/01/14,2014,Jan,Shoulder Season,CH,17,10,82.02,820.18,Leisure,OTA,ZanziTours,Company C,6,04/01/14,No Show
4,Michamvi Property,15/01/14,2014,Jan,Shoulder Season,DK,18,8,92.13,737.06,Leisure,TA/TO,Oceanic Travels,Company A,57,22/12/13,Canceled
7,Mwezi Property,15/01/14,2014,Jan,Shoulder Season,CH,22,13,89.43,1162.53,Leisure,TA/TO,Sunset Ltd,Company A,59,31/12/13,No Show
3,Nur Property,15/01/14,2014,Jan,Shoulder Season,LT,17,8,86.13,689.08,Leisure,TA/TO,Sunset Ltd,Company C,37,04/01/14,No Show
1,Kasha Property,16/01/14,2014,Jan,Shoulder Season,LU,6,3,275.91,827.74,Leisure,TA/TO,Oceanic Travels,,81,10/01/14,Canceled
2,Casa Property,16/01/14,2014,Jan,Shoulder Season,IE,14,7,91.73,642.13,Leisure,Group,TO Africa,Company B,77,05/01/14,No Show
6,Fun Property,16/01/14,2014,Jan,Shoulder Season,LT,20,11,81.52,896.76,Group,OTA,Sunset Ltd,Company C,95,28/12/13,Confirmed
5,Loop Property,16/01/14,2014,Jan,Shoulder Season,RO,17,9,85.66,770.97,Corporate,TA/TO,Sunset Ltd,Company C,76,31/12/13,Canceled
4,Michamvi Property,16/01/14,2014,Jan,Shoulder Season,AT,18,9,89.89,809.03,Corporate,Group,TO Africa,Company A,99,07/01/14,No Show
7,Mwezi Property,16/01/14,2014,Jan,Shoulder Season,AU,22,12,91.89,1102.69,Leisure,OTA,ZanziTours,,112,19/12/13,Confirmed
3,Nur Property,16/01/14,2014,Jan,Shoulder Season,HU,17,9,84.59,761.27,Group,OTA,ZanziTours,,177,28/12/13,Confirmed
1,Kasha Property,17/01/14,2014,Jan,Shoulder Season,DK,6,3,273.08,819.24,Leisure,Website,ZanziTours,Company A,34,24/12/13,Canceled
2,Casa Property,17/01/14,2014,Jan,Shoulder Season,FR,14,6,89.93,539.6,Leisure,Website,ZanziTours,Company B,7,14/01/14,No Show
6,Fun Property,17/01/14,2014,Jan,Shoulder Season,PL,20,9,82.19,739.72,Corporate,Group,ZanziTours,,27,27/12/13,No Show
5,Loop Property,17/01/14,2014,Jan,Shoulder Season,DE,17,8,81.26,650.05,Group,Direct,Sunset Ltd,,100,07/01/14,No Show
4,Michamvi Property,17/01/14,2014,Jan,Shoulder Season,EE,18,10,89.01,890.13,Corporate,OTA,ZanziTours,Company A,149,02/01/14,No Show
7,Mwezi Property,17/01/14,2014,Jan,Shoulder Season,FR,22,10,93.15,931.52,Group,TA/TO,Oceanic Travels,Company C,51,18/12/13,Confirmed
3,Nur Property,17/01/14,2014,Jan,Shoulder Season,UK,17,9,94.92,854.3,Business,TA/TO,TO Africa,Company A,102,16/01/14,Confirmed
1,Kasha Property,18/01/14,2014,Jan,Shoulder Season,BR,6,3,268.28,804.85,Business,Group,Sunset Ltd,Company C,14,16/01/14,No Show
2,Casa Property,18/01/14,2014,Jan,Shoulder Season,UK,14,6,84.96,509.75,Group,Direct,Oceanic Travels,Company B,106,08/01/14,No Show
6,Fun Property,18/01/14,2014,Jan,Shoulder Season,IE,20,11,82.26,904.85,Group,Website,ZanziTours,Company A,162,26/12/13,Canceled
5,Loop Property,18/01/14,2014,Jan,Shoulder Season,NL,17,9,87.79,790.1,Corporate,OTA,Sunset Ltd,,48,04/01/14,No Show
4,Michamvi Property,18/01/14,2014,Jan,Shoulder Season,JP,18,8,89.76,718.09,Leisure,OTA,ZanziTours,Company B,175,17/01/14,No Show
7,Mwezi Property,18/01/14,2014,Jan,Shoulder Season,DK,22,11,92.7,1019.69,Corporate,OTA,ZanziTours,Company A,155,29/12/13,Confirmed
3,Nur Property,18/01/14,2014,Jan,Shoulder Season,HU,17,10,88.53,885.31,Group,OTA,ZanziTours,Company C,156,14/01/14,Confirmed
1,Kasha Property,19/01/14,2014,Jan,Shoulder Season,NL,6,3,242.95,728.85,Business,OTA,ZanziTours,Company C,129,17/01/14,No Show
2,Casa Property,19/01/14,2014,Jan,Shoulder Season,UK,14,8,90.45,723.6,Business,TA/TO,Sunset Ltd,Company C,133,04/01/14,Canceled
6,Fun Property,19/01/14,2014,Jan,Shoulder Season,AT,20,9,93.94,845.47,Business,OTA,Sunset Ltd,,52,02/01/14,No Show
5,Loop Property,19/01/14,2014,Jan,Shoulder Season,NL,17,10,86.98,869.77,Group,TA/TO,Oceanic Travels,Company A,8,13/01/14,No Show
4,Michamvi Property,19/01/14,2014,Jan,Shoulder Season,US,18,11,90.86,999.47,Leisure,Group,Oceanic Travels,,100,08/01/14,No Show
7,Mwezi Property,19/01/14,2014,Jan,Shoulder Season,LV,22,11,82.07,902.79,Group,Group,TO Africa,Company A,136,08/01/14,Canceled
3,Nur Property,19/01/14,2014,Jan,Shoulder Season,ZA,17,8,93.95,751.56,Corporate,TA/TO,TO Africa,,37,05/01/14,No Show
1,Kasha Property,20/01/14,2014,Jan,Shoulder Season,CZ,6,3,254.66,763.98,Business,OTA,ZanziTours,Company C,91,05/01/14,No Show
2,Casa Property,20/01/14,2014,Jan,Shoulder Season,PL,14,7,85.84,600.91,Corporate,Direct,TO Africa,Company A,7,12/01/14,Confirmed
6,Fun Property,20/01/14,2014,Jan,Shoulder Season,BG,20,12,86.4,1036.79,Leisure,Group,ZanziTours,Company C,111,08/01/14,Canceled
5,Loop Property,20/01/14,2014,Jan,Shoulder Season,UK,17,9,88.66,797.95,Leisure,OTA,TO Africa,,25,29/12/13,No Show
4,Michamvi Property,20/01/14,2014,Jan,Shoulder Season,US,18,9,84.06,756.54,Group,Direct,TO Africa,Company C,19,29/12/13,No Show
7,Mwezi Property,20/01/14,2014,Jan,Shoulder Season,EE,22,12,82.82,993.85,Leisure,Group,Sunset Ltd,Company A,19,04/01/14,Confirmed
3,Nur Property,20/01/14,2014,Jan,Shoulder Season,FR,17,8,81.63,653.08,Corporate,TA/TO,ZanziTours,Company A,90,07/01/14,Confirmed
1,Kasha Property,21/01/14,2014,Jan,Shoulder Season,BG,6,3,251.88,755.64,Corporate,OTA,ZanziTours,Company B,91,28/12/13,Confirmed
2,Casa Property,21/01/14,2014,Jan,Shoulder Season,NL,14,8,80.31,642.46,Leisure,OTA,TO Africa,Company A,131,28/12/13,Canceled
6,Fun Property,21/01/14,2014,Jan,Shoulder Season,IE,20,10,87.95,879.48,Corporate,OTA,Oceanic Travels,Company B,130,03/01/14,Confirmed
5,Loop Property,21/01/14,2014,Jan,Shoulder Season,SK,17,7,88.74,621.2,Business,Group,Oceanic Travels,Company A,111,03/01/14,Canceled
4,Michamvi Property,21/01/14,2014,Jan,Shoulder Season,LU,18,9,91.79,826.08,Group,Direct,Oceanic Travels,,18,14/01/14,Confirmed
7,Mwezi Property,21/01/14,2014,Jan,Shoulder Season,FR,22,10,83.52,835.2,Leisure,OTA,ZanziTours,Company B,65,08/01/14,Canceled
3,Nur Property,21/01/14,2014,Jan,Shoulder Season,CA,17,9,80.12,721.09,Group,Group,Oceanic Travels,Company C,58,13/01/14,Canceled
1,Kasha Property,22/01/14,2014,Jan,Shoulder Season,AE,6,3,243.34,730.01,Business,TA/TO,Oceanic Travels,Company B,102,15/01/14,No Show
2,Casa Property,22/01/14,2014,Jan,Shoulder Season,AT,14,8,86.8,694.38,Business,OTA,TO Africa,Company B,151,27/12/13,Confirmed
6,Fun Property,22/01/14,2014,Jan,Shoulder Season,FR,20,9,83.07,747.67,Business,TA/TO,ZanziTours,Company A,99,01/01/14,Confirmed
5,Loop Property,22/01/14,2014,Jan,Shoulder Season,AT,17,7,82.28,575.95,Group,OTA,ZanziTours,,29,23/12/13,No Show
4,Michamvi Property,22/01/14,2014,Jan,Shoulder Season,UK,18,10,88.56,885.65,Leisure,Group,Sunset Ltd,Company C,87,04/01/14,Confirmed
7,Mwezi Property,22/01/14,2014,Jan,Shoulder Season,AT,22,12,81.33,975.98,Group,Direct,Sunset Ltd,Company A,113,28/12/13,Canceled
3,Nur Property,22/01/14,2014,Jan,Shoulder Season,NL,17,8,83.79,670.32,Corporate,TA/TO,Oceanic Travels,Company A,2,07/01/14,Confirmed
1,Kasha Property,23/01/14,2014,Jan,Shoulder Season,NL,6,2,260.04,520.08,Business,TA/TO,Sunset Ltd,Company C,91,27/12/13,Confirmed
2,Casa Property,23/01/14,2014,Jan,Shoulder Season,CH,14,6,84.92,509.55,Corporate,Direct,TO Africa,Company A,18,05/01/14,No Show
6,Fun Property,23/01/14,2014,Jan,Shoulder Season,BG,20,12,90.25,1083,Leisure,OTA,Sunset Ltd,Company B,23,07/01/14,Canceled
5,Loop Property,23/01/14,2014,Jan,Shoulder Season,BE,17,9,80.24,722.13,Group,TA/TO,TO Africa,Company C,10,09/01/14,Canceled
4,Michamvi Property,23/01/14,2014,Jan,Shoulder Season,RO,18,11,90.8,998.75,Group,Direct,TO Africa,,123,03/01/14,Confirmed
7,Mwezi Property,23/01/14,2014,Jan,Shoulder Season,SG,22,9,93.51,841.61,Group,OTA,Sunset Ltd,Company C,141,04/01/14,Confirmed
3,Nur Property,23/01/14,2014,Jan,Shoulder Season,BR,17,7,80.9,566.31,Group,Group,Oceanic Travels,Company C,75,28/12/13,No Show
1,Kasha Property,24/01/14,2014,Jan,Shoulder Season,HU,6,2,272.16,544.31,Business,Group,TO Africa,Company B,25,11/01/14,Canceled
2,Casa Property,24/01/14,2014,Jan,Shoulder Season,RO,14,8,82.18,657.46,Business,OTA,Oceanic Travels,,44,05/01/14,Confirmed
6,Fun Property,24/01/14,2014,Jan,Shoulder Season,CZ,20,12,90.95,1091.41,Leisure,OTA,ZanziTours,,87,11/01/14,Canceled
5,Loop Property,24/01/14,2014,Jan,Shoulder Season,ZA,17,10,81.09,810.86,Business,TA/TO,Oceanic Travels,Company A,111,12/01/14,No Show
4,Michamvi Property,24/01/14,2014,Jan,Shoulder Season,AT,18,11,84.57,930.22,Business,TA/TO,Sunset Ltd,Company C,142,22/01/14,Canceled
7,Mwezi Property,24/01/14,2014,Jan,Shoulder Season,AT,22,11,91.19,1003.12,Group,Group,TO Africa,,146,16/01/14,Canceled
3,Nur Property,24/01/14,2014,Jan,Shoulder Season,RO,17,9,87.41,786.68,Group,TA/TO,TO Africa,Company B,142,27/12/13,No Show
1,Kasha Property,25/01/14,2014,Jan,Shoulder Season,SK,6,3,253.2,759.61,Business,Direct,Sunset Ltd,,110,03/01/14,No Show
2,Casa Property,25/01/14,2014,Jan,Shoulder Season,BG,14,7,91.95,643.67,Business,Group,Oceanic Travels,Company C,27,11/01/14,Confirmed
6,Fun Property,25/01/14,2014,Jan,Shoulder Season,DK,20,9,84.8,763.2,Corporate,TA/TO,ZanziTours,,8,31/12/13,No Show
5,Loop Property,25/01/14,2014,Jan,Shoulder Season,CN,17,11,91.19,1003.09,Corporate,TA/TO,Sunset Ltd,Company B,139,31/12/13,No Show
4,Michamvi Property,25/01/14,2014,Jan,Shoulder Season,US,18,9,91.79,826.13,Corporate,Group,ZanziTours,Company A,170,27/12/13,Canceled
7,Mwezi Property,25/01/14,2014,Jan,Shoulder Season,FR,22,11,83.59,919.46,Business,TA/TO,ZanziTours,Company A,66,31/12/13,Confirmed
3,Nur Property,25/01/14,2014,Jan,Shoulder Season,SK,17,8,91.77,734.19,Leisure,OTA,ZanziTours,,48,30/12/13,No Show
1,Kasha Property,26/01/14,2014,Jan,Shoulder Season,LT,6,3,242.77,728.31,Group,TA/TO,ZanziTours,Company C,68,05/01/14,Confirmed
2,Casa Property,26/01/14,2014,Jan,Shoulder Season,HU,14,8,86.86,694.84,Group,TA/TO,ZanziTours,Company B,42,22/01/14,No Show
6,Fun Property,26/01/14,2014,Jan,Shoulder Season,AT,20,12,86.56,1038.74,Business,TA/TO,ZanziTours,,18,30/12/13,No Show
5,Loop Property,26/01/14,2014,Jan,Shoulder Season,LT,17,9,83.91,755.23,Corporate,TA/TO,TO Africa,Company C,127,27/12/13,No Show
